question,answer,option1,option2,option3,option4,type,link,difficulty,roundId
Radio jingle is,OPTION4,the identity of a radio station,mix of music and lyrics,branding tool,all the above,TEXT,,EASY,1
Radio club of Bombay made the first ever broadcast in India in the year,OPTION3,1921,1923,1927,1929,TEXT,,EASY,1
The first radio programme in India was broadcast by the ��������.,OPTION2,Radio Club of Calculta,Radio Club of Bombay,PTI,Doordarshan,TEXT,,EASY,1
Which of the following radio programme prefers Bi-directional microphone for recording?,OPTION2,radio talk,radio interview,radio drama,radio news,TEXT,,EASY,1
______ Microphone is preferred for a radio interview,OPTION2,uni-directional,bi-directional,omni-directional,none of the above,TEXT,,EASY,1
Which of the following microphone is sensitive to all directions,OPTION3,unidirectional microphone,bi-directional microphone,omni directional microphone,multi-directional microphone,TEXT,,EASY,1
Which of the following microphone requires power to function?,OPTION2,dynamic microphone,condenser microphone,lavaliere microphone,all the above,TEXT,,EASY,1
How does a RF Microphone work?,OPTION2,using infrared rays,using radio waves,using x-rays,using power waves,TEXT,,EASY,1
"In DAB, what does the letter �A� stand for?",OPTION2,Asterisk,Audio,Antenna,Automatic,TEXT,,EASY,1
What does the Latin Word �Communis� mean?,OPTION3,Commute,Communication,Common,None of these,TEXT,,EASY,1
The word Akashavani means,OPTION2,waves of the sky,voice from the sky,frequency of the sky,volume of the sky,TEXT,,EASY,1
All India Radio is known as Akashavani since,OPTION3,1952,1954,1956,1958,TEXT,,EASY,1
Which is the official online mobile application of All India Radio?,OPTION4,air pool,air broadcast,air stream,news on air,TEXT,,EASY,1
There are ________ All India Radio AM stations in Kerala,OPTION3,3,5,7,9,TEXT,,EASY,1
Frequencies are allotted for Radio stations in India by,,state government,district collector,central government,no need for allocation,TEXT,,EASY,1
AIR owns _______ stations in the country,OPTION2,240,420,620,320,TEXT,,EASY,1
"At the time of Independence, AIR Network hand only ������. Stations",OPTION2,Three,Six,One,Four,TEXT,,EASY,1
When did AIR (All India Radio) come under the department of Information and Broadcasting?,OPTION1,"Oct 24, 1941","Sept 3, 1940","March 2, 1950","Dec 7, 1956",TEXT,,EASY,1
"Doordarshan was delinked from All India Radio, in the year?",OPTION1,1976,1970,1983,1980,TEXT,,EASY,1
A Community Radio is operated by,OPTION3,government,prasar bharati,community,private agency,TEXT,,EASY,1
