question,answer,option1,option2,option3,option4,type,link,difficulty,roundId,updatedAt
Radio jingle is,OPTION4,the identity of a radio station,mix of music and lyrics,branding tool,all the above,TEXT,,EASY,1,2024-11-26T11:30:24.250425
Radio club of Bombay made the first ever broadcast in India in the year,OPTION3,1921,1923,1927,1929,TEXT,,EASY,1,2024-11-26T11:30:24.250425
The first radio programme in India was broadcast by the ��������.,OPTION2,Radio Club of Calculta,Radio Club of Bombay,PTI,Doordarshan,TEXT,,EASY,1,2024-11-26T11:30:24.250425
Which of the following radio programme prefers Bi-directional microphone for recording?,OPTION2,radio talk,radio interview,radio drama,radio news,TEXT,,EASY,1,2024-11-26T11:30:24.250425
______ Microphone is preferred for a radio interview,OPTION2,uni-directional,bi-directional,omni-directional,none of the above,TEXT,,EASY,1,2024-11-26T11:30:24.250425
Which of the following microphone is sensitive to all directions,OPTION3,unidirectional microphone,bi-directional microphone,omni directional microphone,multi-directional microphone,TEXT,,EASY,1,2024-11-26T11:30:24.250425
Which of the following microphone requires power to function?,OPTION2,dynamic microphone,condenser microphone,lavaliere microphone,all the above,TEXT,,EASY,1,2024-11-26T11:30:24.250425
How does a RF Microphone work?,OPTION2,using infrared rays,using radio waves,using x-rays,using power waves,TEXT,,EASY,1,2024-11-26T11:30:24.250425
"In DAB, what does the letter �A� stand for?",OPTION2,Asterisk,Audio,Antenna,Automatic,TEXT,,EASY,1,2024-11-26T11:30:24.250425
What does the Latin Word �Communis� mean?,OPTION3,Commute,Communication,Common,None of these,TEXT,,EASY,1,2024-11-26T11:30:24.250425
The word Akashavani means,OPTION2,waves of the sky,voice from the sky,frequency of the sky,volume of the sky,TEXT,,EASY,1,2024-11-26T11:30:24.250425
All India Radio is known as Akashavani since,OPTION3,1952,1954,1956,1958,TEXT,,EASY,1,2024-11-26T11:30:24.250425
Which is the official online mobile application of All India Radio?,OPTION4,air pool,air broadcast,air stream,news on air,TEXT,,EASY,1,2024-11-26T11:30:24.250425
There are ________ All India Radio AM stations in Kerala,OPTION3,3,5,7,9,TEXT,,EASY,1,2024-11-26T11:30:24.250425
Frequencies are allotted for Radio stations in India by,OPTION3,state government,district collector,central government,no need for allocation,TEXT,,EASY,1,2024-11-26T11:30:24.250425
AIR owns _______ stations in the country,OPTION2,240,420,620,320,TEXT,,EASY,1,2024-11-26T11:30:24.250425
"At the time of Independence, AIR Network hand only ������. Stations",OPTION2,Three,Six,One,Four,TEXT,,EASY,1,2024-11-26T11:30:24.250425
When did AIR (All India Radio) come under the department of Information and Broadcasting?,OPTION1,"Oct 24, 1941","Sept 3, 1940","March 2, 1950","Dec 7, 1956",TEXT,,EASY,1,2024-11-26T11:30:24.250425
"Doordarshan was delinked from All India Radio, in the year?",OPTION1,1976,1970,1983,1980,TEXT,,EASY,1,2024-11-26T11:30:24.250425
A Community Radio is operated by,OPTION3,government,prasar bharati,community,private agency,TEXT,,EASY,1,2024-11-26T11:30:24.250425
"Which Indian cricketer is known as the ""Master Blaster""?",OPTION1,Sachin Tendulkar,V Sahvag,M S Dhoni,Virat Kohli,TEXT,,EASY,2,2024-11-26T11:30:24.250425
Which sport is associated with the Dronacharya Award?,OPTION2,Football,Coaching (all sports),Cricket,Hockey,TEXT,,EASY,2,2024-11-26T11:30:24.250425
Who was the first Indian woman to win a silver medal at the Olympics?,OPTION2,P T Usha,P.V. Sindhu,Sakshi Malik,Saina Nehwal,TEXT,,EASY,2,2024-11-26T11:30:24.250425
Which Indian cricketer holds the record for the highest individual score in a test match?,OPTION1,Virender Sehwag,Virat Kohli,Sunil Gavaskar,Sachin Tendulkar,TEXT,,EASY,2,2024-11-26T11:30:24.250425
In which year did India win its first Cricket World Cup?,OPTION2,1987,1983,1992,1979,TEXT,,EASY,2,2024-11-26T11:30:24.250425
Who was the captain of the Indian football team during the 1962 Asian Games when India won gold?,OPTION2,Bhaichung Bhutia,Chuni Goswami,I.M. Vijayan,Sailen Manna,TEXT,,EASY,2,2024-11-26T11:30:24.250425
"What does the term ""hat-trick"" mean in cricket?",OPTION2,Three runs in three balls,Three wickets in three balls,Three runs in three overs,Three players scoring the same amount,TEXT,,EASY,2,2024-11-26T11:30:24.250425
