question,answer,option1,option2,option3,option4,type,link,difficulty,roundId
"Which Indian cricketer is known as the ""Master Blaster""?",OPTION1,Sachin Tendulkar,V Sahvag,M S Dhoni,Virat Kohli,TEXT,,EASY,2
Which sport is associated with the Dronacharya Award?,OPTION2,Football,Coaching (all sports),Cricket,Hockey,TEXT,,EASY,2
Who was the first Indian woman to win a silver medal at the Olympics?,OPTION2,P T Usha,P.V. Sindhu,Sakshi Malik,Saina Nehwal,TEXT,,EASY,2
Which Indian cricketer holds the record for the highest individual score in a test match?,OPTION1,Virender Sehwag,Virat Kohli,Sunil Gavaskar,Sachin Tendulkar,TEXT,,EASY,2
In which year did India win its first Cricket World Cup?,OPTION2,1987,1983,1992,1979,TEXT,,EASY,2
Who was the captain of the Indian football team during the 1962 Asian Games when India won gold?,OPTION2,Bhaichung Bhutia,Chuni Goswami,I.M. Vijayan,Sailen Manna,TEXT,,EASY,2
"What does the term ""hat-trick"" mean in cricket?",OPTION2,Three runs in three balls,Three wickets in three balls,Three runs in three overs,Three players scoring the same amount,TEXT,,EASY,2
In which sport do players compete for the Stanley Cup?,OPTION1,Ice Hockey,Basketball,Baseball,Football,TEXT,,EASY,2
Who is the all-time leading scorer in NBA history as of 2024?,OPTION3,Michael Jordan,Kareem Abdul-Jabbar,LeBron James,Kobe Bryant,TEXT,,EASY,2
Which tennis player has won the most Grand Slam titles in the men's category?,OPTION3,Pete Sampras,Rafael Nadal,Novak Djokovic,Roger Federer,TEXT,,EASY,2
What is the national sport of Japan?,OPTION2,Cricket,Sumo wrestling,Baseball,Karate,TEXT,,EASY,2
In which country did the 2016 Summer Olympics take place?,OPTION3,China,United Kingdom,Brazil,Russia,TEXT,,EASY,2
In which year was the first modern Olympic Games held?,OPTION2,1900,1896,1924,1932,TEXT,,EASY,2
Who holds the record for most goals in World Cup history?,OPTION2,Ronaldo,Miroslav Klose,Lionel Messi,Pel�,TEXT,,EASY,2
What is the maximum break possible in snooker?,OPTION1,147,155,150,145,TEXT,,EASY,2
Which country is known for the sport of sumo wrestling?,OPTION3,South Korea,China,Japan,Mongolia,TEXT,,EASY,2
Who won the 2020 NBA Finals?,OPTION2,Miami Heat,Los Angeles Lakers,Golden State Warriors,Toronto Raptors,TEXT,,EASY,2
"Which sport involves a ""puck""?",OPTION1,Ice Hockey,Lacrosse,Field Hockey,Rugby,TEXT,,EASY,2
"Who is known as ""The Greatest of All Time"" (GOAT) in boxing?",OPTION2,Mike Tyson,Muhammad Ali,Floyd Mayweather,Manny Pacquiao,TEXT,,EASY,2
Who was the first woman to win an Olympic gold medal in boxing?,OPTION2,Mary Kom,Nicola Adams,Claressa Shields,Katie Taylor,TEXT,,EASY,2
