question,option1,option2,option3,option4,answer,
This logo belongs to,Wendy's,Taco Bell,McDonald's,Dominos,option c,
This logo belongs to ,Chanel,Cartoon Network ,Chevrolet,Christian Dior,Option a,
This logo belongs to ,Crown Plaza Hotel,Thomas Crown Affair movie,Crown Casino,Rolex,option d,
Can you recognize this logo?,Royal Back Of Scotland ,HSBC,The Common Wealth Games 2010,Arrow Van Heusen,option b ,
Can you recognize this logo?,United News Of India ,Unilever,Uni Klinger Limited,Uni Style Image,option b ,
Can you recognize this logo?,B.M.W,Renault,Ford,Volkswagen option d,,
Can you recognize this logo?,IBN,CNN,ICICI,NBC,option d,
Can you recognize this logo?,Pepsi,Mirinda ,7UP,Coca Cola,option a,
Can you recognize this logo?,Lamborghini,Maserati,Ferrari,Mclaren F1,option c,
This is the logo of.,Kuoni Travels,TUI,Thomas Cook,Smyle Travels,option b ,
 Can you tell which company's logo is it?,Puma ,Adidas ,Nike,None of the above ,option b,
This is an iconic luxury British sports car manufacturer brand. Can you identify its name from the logo?,Aston Martin,Bentley,Mercedes,Jaguar,option a,
This is also a very popular French brand of automobiles. Identify its company name.,Carrefour,Michelin,Renault,Citroen,option d,
Guess it's brand name from the logo.,Indian Post,DTDC,E-Com,None of the above ,option a,
This is an American multinational telecommunications company. Identify its brand name.,Motorola,Micromax ,Nokia,Samsung,option a,
This company is one of the leading two-wheeler companies in India. Identify its brand name from the logo.,TATA,Yamaha,Nissan,None of the above ,option b,
What brand is this?,Locoste,gucci,Armani,Nike,option a,
What brand is this?,Armani,Patek And Philpe,Fossil,Schwartz,option c,
Indentify the brand?,Lacoste,Tommy Hilfiger,Dolce Gabbana,Redtape,option b,
 Indentify the brand?,North Face,Reebok,Levis,Superdry,option c,
What brand is this?,Hush Puppies,Redtape,Gucci,Holister,option d,
What brand is this?,Armani,Versace ,Chanel ,Dolce Gabbana ,option b,
What brand is this?,Nike,Reebok,Adidas,Gucci,option b ,
Indentify the brand?,Titan,Fastrack,Casico,Timex,option b,
Indentify the brand?,Indian Oil,Hindustan Petroleum,Reliance Petroleum,Bharat Petroleum,option b ,
Indentify the brand?,Ford,Bugatti,BMW,Carrier,option a,
Indentify the brand?,Café Coffee Day,Starbucks,Chaayos,Zomato,option b ,
What brand is this?,Hindustan Unilever,Dabur,Godrej,Himalaya Herbals,option b,
What brand is this?,Pepsi Co,Britannia,Parle,Nestle,option d,
 Indentify the brand?,MTS,Airtel,Vodafone,BSNL,option c,
 Indentify the company logo?,Dr Reddy’s,Sun Pharma,Piramal Enterprise,Bharat Biotech,option c,
 Indentify the company logo?,Amazon,Alibaba,Tata Cliq,Flipkart,option b,
Indentify the company logo?,Tuborg ,Budweiser,Kingfisher,Haywards,option c,
 Indentify the brand?,Zenni Optical,EyeBuyDirect,Titan Eye Plus,Lenskart,option d,
Indentify the company logo?,Vistara,Indigo,Air India,Spice Jet,option a,
Indentify the logo?,Skype ,Telegram,Twitter,Zoom,option b,
