question,answer,option1,option2,option3,option4,type,link,difficulty,roundId,updatedAt
"Which brand uses the slogan I'm livin it""?",OPTION3,HP,COCA COLA,McDonald's,Walmart,TEXT,,EASY,4,2024-11-14T12:11:55.212174
"Which brand is associated with the slogan ""JUST DO IT""?",OPTION1,Nike,Adidas,Reebok,Goodyear,TEXT,,EASY,4,2024-11-14T12:11:55.212174
"Which brand uses the slogan ""It's Finger-Lickin Good""?",OPTION3,Popeye's ,Mrs. Winters,KFC,ChikFila,TEXT,,EASY,4,2024-11-14T12:11:55.212174
"Which brand uses the slogan ""Strong enough for a man, made for a women""?",OPTION2,Degree,Secret,Mitchum,Old Spice,TEXT,,EASY,4,2024-11-14T12:11:55.212174
"Which brand is associated with the slogan ""Melt in your mouth, not in your hand""?",OPTION2,Hershey's,M&M's,Reese's,Milky Way,TEXT,,EASY,4,2024-11-14T12:11:55.212174
"Which brand is represented by the slogan ""Snap, crackle, pop""?",OPTION4,Frosted Flakes,Cinnamon Toast Crunch,Cheerios,Kellogs,TEXT,,EASY,4,2024-11-14T12:11:55.212174
"Which brand uses the slogan ""When you care enough to send the very best""?",OPTION3,FTD Flowers,FedEx,Hallmark,UPS,TEXT,,EASY,4,2024-11-14T12:11:55.212174
"Which brand is associated with the slogan ""Always low prices""?",OPTION2,Kmart,Wal-Mart,Low's,The Home Depot,TEXT,,EASY,4,2024-11-14T12:11:55.212174
"Which brand uses the slogan ""Zoom, Zoom, Zoom.""?",OPTION1,Mazda,Toyota,Subaru,Kia,TEXT,,EASY,4,2024-11-14T12:11:55.212174
"Which brand is represented by the slogan ""Maybe she's born with it, may be it's �..""?",OPTION3,Degree,Revlon,Maybelline,Maxim,TEXT,,EASY,4,2024-11-14T12:11:55.212174
"Which brand uses the slogan ""Betcha can't eat just one""?",OPTION1,Lay's,Fritos,Doritos,Grippos,TEXT,,EASY,4,2024-11-14T12:11:55.212174
"Which brand is associated with the slogan ""Eat Fresh""?",OPTION2,Panera,Subway,KFC,Jimmy John's,TEXT,,EASY,4,2024-11-14T12:11:55.212174
"Which brand is represented by the slogan ""There are something money can't buy. For everything else, there's �...""?",OPTION3,Visa,American Express,Mastercard,Discover,TEXT,,EASY,4,2024-11-14T12:11:55.212174
"Which airline uses the slogan ""You are now free to move about the country""?",OPTION1,Southwest,American ,Continental,Delta,TEXT,,EASY,4,2024-11-14T12:11:55.212174
"Which brand is represented by the slogan ""Because You're Worth it""?",OPTION2,Maybelline,L'Oreal,Olay,Revlon,TEXT,,EASY,4,2024-11-14T12:11:55.212174
"Which company is represented by the slogan ""There is a little bit of �.. in everybody's life""?",OPTION1,SAIL,Iron,NTPC,HAL,TEXT,,EASY,4,2024-11-14T12:11:55.212174
"""Connecting India"" is a Tagline of �..?",OPTION3,Airtel,Vodafone Idea,BSNL,Reliance Jio,TEXT,,EASY,4,2024-11-14T12:11:55.212174
"""Think Different"" is the Slogan of �..""?",OPTION3,HP,Dell,Apple,Samsung,TEXT,,EASY,4,2024-11-14T12:11:55.212174
"""Are yahi to hai desh ki dhadkan"" is the slogan of �.?",OPTION3,Honda,Hero,Hero Honda,TVS,TEXT,,EASY,4,2024-11-14T12:11:55.212174
"""The future of computing"" is the tagline of �..?",OPTION4,Samsung,Apple,LG,AMD,TEXT,,EASY,4,2024-11-14T12:11:55.212174
"""Imagine the possibilities"" is the tagline of �..?",OPTION1,Samsung,Atari,MicroMax,Nokia,TEXT,,EASY,4,2024-11-14T12:11:55.212174
"""The power of dreams"" is the Tagline of �..?",OPTION4,TVS,Bajaj,Hero Honda,Honda,TEXT,,EASY,4,2024-11-14T12:11:55.212174
